Date,NO2,Year,City
25-Apr-20,7.41E-05,2020,Bergamo
5-Apr-20,7.44E-05,2020,Bergamo
25-Apr-20,7.52E-05,2020,Bergamo
11-Apr-20,7.59E-05,2020,Bergamo
4-Apr-20,7.69E-05,2020,Bergamo
13-Apr-20,8.33E-05,2020,Bergamo
27-Apr-20,8.45E-05,2020,Bergamo
18-Apr-20,8.53E-05,2020,Bergamo
26-Apr-20,8.64E-05,2020,Bergamo
12-Apr-20,8.82E-05,2020,Bergamo
15-Apr-20,9.26E-05,2020,Bergamo
4-Apr-20,9.70E-05,2020,Bergamo
24-Apr-20,9.88E-05,2020,Bergamo
24-Apr-20,9.98E-05,2020,Bergamo
13-Apr-20,1.00E-04,2020,Bergamo
8-Apr-20,1.04E-04,2020,Bergamo
31-Mar-20,1.04E-04,2020,Bergamo
10-Apr-20,1.04E-04,2020,Bergamo
8-Apr-20,1.05E-04,2020,Bergamo
1-Apr-20,1.07E-04,2020,Bergamo
19-Apr-20,1.07E-04,2020,Bergamo
8-Apr-20,1.07E-04,2020,Bergamo
15-Apr-20,1.13E-04,2020,Bergamo
9-Apr-20,1.15E-04,2020,Bergamo
24-Apr-20,1.21E-04,2020,Bergamo
22-Apr-20,1.21E-04,2020,Bergamo
7-Apr-20,1.25E-04,2020,Bergamo
14-Apr-20,1.26E-04,2020,Bergamo
3-Apr-20,1.27E-04,2020,Bergamo
6-Apr-20,1.27E-04,2020,Bergamo
23-Apr-20,1.34E-04,2020,Bergamo
19-Apr-20,1.35E-04,2020,Bergamo
3-Apr-20,1.37E-04,2020,Bergamo
14-Apr-20,1.39E-04,2020,Bergamo
9-Apr-20,1.43E-04,2020,Bergamo
2-Apr-20,1.44E-04,2020,Bergamo
28-Apr-20,1.79E-04,2020,Bergamo
16-Apr-20,1.86E-04,2020,Bergamo
17-Apr-20,2.03E-04,2020,Bergamo
22-Apr-19,9.13E-05,2019,Bergamo
28-Apr-19,1.02E-04,2019,Bergamo
28-Apr-19,1.05E-04,2019,Bergamo
27-Apr-19,1.07E-04,2019,Bergamo
13-Apr-19,1.08E-04,2019,Bergamo
25-Apr-19,1.09E-04,2019,Bergamo
7-Apr-19,1.12E-04,2019,Bergamo
21-Apr-19,1.13E-04,2019,Bergamo
20-Apr-19,1.15E-04,2019,Bergamo
20-Apr-19,1.15E-04,2019,Bergamo
13-Apr-19,1.17E-04,2019,Bergamo
6-Apr-19,1.17E-04,2019,Bergamo
26-Apr-19,1.19E-04,2019,Bergamo
7-Apr-19,1.20E-04,2019,Bergamo
9-Apr-19,1.22E-04,2019,Bergamo
22-Apr-19,1.23E-04,2019,Bergamo
23-Apr-19,1.23E-04,2019,Bergamo
18-Apr-19,1.23E-04,2019,Bergamo
18-Apr-19,1.26E-04,2019,Bergamo
12-Apr-19,1.36E-04,2019,Bergamo
6-Apr-19,1.37E-04,2019,Bergamo
14-Apr-19,1.40E-04,2019,Bergamo
27-Apr-19,1.41E-04,2019,Bergamo
1-Apr-19,1.54E-04,2019,Bergamo
12-Apr-19,1.57E-04,2019,Bergamo
10-Apr-19,1.59E-04,2019,Bergamo
31-Mar-19,1.69E-04,2019,Bergamo
17-Apr-19,1.70E-04,2019,Bergamo
19-Apr-19,1.79E-04,2019,Bergamo
17-Apr-19,1.82E-04,2019,Bergamo
4-Apr-19,1.97E-04,2019,Bergamo
4-Apr-19,1.97E-04,2019,Bergamo
1-Apr-19,1.99E-04,2019,Bergamo
16-Apr-19,2.16E-04,2019,Bergamo
16-Apr-19,2.16E-04,2019,Bergamo
8-Apr-19,2.43E-04,2019,Bergamo
11-Apr-19,2.43E-04,2019,Bergamo
2-Apr-19,2.50E-04,2019,Bergamo
30-Mar-19,2.76E-04,2019,Bergamo
5-Apr-19,2.96E-04,2019,Bergamo
27-Apr-20,6.26E-05,2020,Madrid
26-Apr-20,6.84E-05,2020,Madrid
26-Apr-20,6.85E-05,2020,Madrid
11-Apr-20,6.88E-05,2020,Madrid
1-May-20,6.91E-05,2020,Madrid
16-Apr-20,7.30E-05,2020,Madrid
30-Apr-20,7.46E-05,2020,Madrid
17-Apr-20,7.52E-05,2020,Madrid
27-Apr-20,7.60E-05,2020,Madrid
2-May-20,7.61E-05,2020,Madrid
14-Apr-20,7.72E-05,2020,Madrid
12-Apr-20,7.88E-05,2020,Madrid
3-May-20,8.04E-05,2020,Madrid
28-Apr-20,8.09E-05,2020,Madrid
3-May-20,8.09E-05,2020,Madrid
2-May-20,8.18E-05,2020,Madrid
18-Apr-20,8.48E-05,2020,Madrid
24-Apr-20,8.48E-05,2020,Madrid
20-Apr-20,8.51E-05,2020,Madrid
13-Apr-20,8.53E-05,2020,Madrid
13-Apr-20,8.53E-05,2020,Madrid
16-Apr-20,8.53E-05,2020,Madrid
25-Apr-20,8.80E-05,2020,Madrid
25-Apr-20,8.80E-05,2020,Madrid
29-Apr-20,9.20E-05,2020,Madrid
29-Apr-20,9.25E-05,2020,Madrid
23-Apr-20,9.27E-05,2020,Madrid
22-Apr-20,9.68E-05,2020,Madrid
11-Apr-20,9.79E-05,2020,Madrid
19-Apr-20,9.82E-05,2020,Madrid
21-Apr-20,9.93E-05,2020,Madrid
4-May-20,9.96E-05,2020,Madrid
15-Apr-20,1.04E-04,2020,Madrid
7-May-20,1.05E-04,2020,Madrid
22-Apr-20,1.09E-04,2020,Madrid
5-May-20,1.12E-04,2020,Madrid
21-Apr-20,1.21E-04,2020,Madrid
7-May-20,1.22E-04,2020,Madrid
6-May-20,2.63E-04,2020,Madrid
25-Apr-19,6.61E-05,2019,Madrid
20-Apr-19,7.65E-05,2019,Madrid
21-Apr-19,8.03E-05,2019,Madrid
25-Apr-19,9.33E-05,2019,Madrid
24-Apr-19,9.63E-05,2019,Madrid
23-Apr-19,9.67E-05,2019,Madrid
20-Apr-19,1.06E-04,2019,Madrid
14-Apr-19,1.09E-04,2019,Madrid
3-May-19,1.10E-04,2019,Madrid
1-May-19,1.17E-04,2019,Madrid
7-May-19,1.18E-04,2019,Madrid
24-Apr-19,1.20E-04,2019,Madrid
2-May-19,1.27E-04,2019,Madrid
11-Apr-19,1.28E-04,2019,Madrid
24-Apr-19,1.33E-04,2019,Madrid
22-Apr-19,1.35E-04,2019,Madrid
26-Apr-19,1.39E-04,2019,Madrid
17-Apr-19,1.40E-04,2019,Madrid
14-Apr-19,1.42E-04,2019,Madrid
6-May-19,1.49E-04,2019,Madrid
5-May-19,1.62E-04,2019,Madrid
18-Apr-19,1.69E-04,2019,Madrid
5-May-19,1.86E-04,2019,Madrid
16-Apr-19,1.91E-04,2019,Madrid
28-Apr-19,1.92E-04,2019,Madrid
6-May-19,2.24E-04,2019,Madrid
4-May-19,2.33E-04,2019,Madrid
4-May-19,2.33E-04,2019,Madrid
30-Apr-19,2.54E-04,2019,Madrid
13-Apr-19,2.71E-04,2019,Madrid
27-Apr-19,2.78E-04,2019,Madrid
29-Apr-19,3.05E-04,2019,Madrid
12-Apr-19,3.35E-04,2019,Madrid
30-Apr-19,3.41E-04,2019,Madrid
23-Apr-20,7.38E-05,2020,New Delhi
10-Apr-20,8.28E-05,2020,New Delhi
20-Apr-20,8.28E-05,2020,New Delhi
18-Apr-20,8.75E-05,2020,New Delhi
12-Apr-20,9.08E-05,2020,New Delhi
3-May-20,9.39E-05,2020,New Delhi
11-Apr-20,9.45E-05,2020,New Delhi
11-Apr-20,9.45E-05,2020,New Delhi
13-Apr-20,9.60E-05,2020,New Delhi
11-May-20,9.64E-05,2020,New Delhi
2-May-20,9.67E-05,2020,New Delhi
16-Apr-20,9.70E-05,2020,New Delhi
21-Apr-20,9.70E-05,2020,New Delhi
2-May-20,9.72E-05,2020,New Delhi
11-Apr-20,9.77E-05,2020,New Delhi
11-Apr-20,9.77E-05,2020,New Delhi
27-Apr-20,9.90E-05,2020,New Delhi
27-Apr-20,1.00E-04,2020,New Delhi
11-May-20,1.00E-04,2020,New Delhi
14-Apr-20,1.03E-04,2020,New Delhi
13-May-20,1.03E-04,2020,New Delhi
29-Apr-20,1.04E-04,2020,New Delhi
15-Apr-20,1.05E-04,2020,New Delhi
19-Apr-20,1.05E-04,2020,New Delhi
7-May-20,1.05E-04,2020,New Delhi
27-Apr-20,1.06E-04,2020,New Delhi
13-May-20,1.06E-04,2020,New Delhi
22-Apr-20,1.07E-04,2020,New Delhi
27-Apr-20,1.07E-04,2020,New Delhi
6-May-20,1.07E-04,2020,New Delhi
17-Apr-20,1.08E-04,2020,New Delhi
4-May-20,1.08E-04,2020,New Delhi
28-Apr-20,1.10E-04,2020,New Delhi
9-May-20,1.11E-04,2020,New Delhi
26-Apr-20,1.13E-04,2020,New Delhi
16-Apr-20,1.15E-04,2020,New Delhi
8-May-20,1.16E-04,2020,New Delhi
30-Apr-20,1.17E-04,2020,New Delhi
24-Apr-20,1.18E-04,2020,New Delhi
25-Apr-20,1.19E-04,2020,New Delhi
5-May-20,1.20E-04,2020,New Delhi
12-May-20,1.21E-04,2020,New Delhi
14-May-20,1.24E-04,2020,New Delhi
1-May-20,1.26E-04,2020,New Delhi
16-May-20,1.52E-04,2020,New Delhi
15-May-20,1.54E-04,2020,New Delhi
15-May-20,1.54E-04,2020,New Delhi
11-May-19,1.29E-04,2019,New Delhi
14-Apr-19,1.31E-04,2019,New Delhi
15-May-19,1.33E-04,2019,New Delhi
14-Apr-19,1.39E-04,2019,New Delhi
16-Apr-19,1.40E-04,2019,New Delhi
17-Apr-19,1.44E-04,2019,New Delhi
13-Apr-19,1.45E-04,2019,New Delhi
28-Apr-19,1.51E-04,2019,New Delhi
5-May-19,1.54E-04,2019,New Delhi
7-May-19,1.57E-04,2019,New Delhi
12-May-19,1.59E-04,2019,New Delhi
27-Apr-19,1.61E-04,2019,New Delhi
27-Apr-19,1.62E-04,2019,New Delhi
21-Apr-19,1.63E-04,2019,New Delhi
30-Apr-19,1.63E-04,2019,New Delhi
11-May-19,1.63E-04,2019,New Delhi
19-Apr-19,1.66E-04,2019,New Delhi
10-May-19,1.67E-04,2019,New Delhi
25-Apr-19,1.71E-04,2019,New Delhi
26-Apr-19,1.72E-04,2019,New Delhi
6-May-19,1.72E-04,2019,New Delhi
15-Apr-19,1.76E-04,2019,New Delhi
30-Apr-19,1.77E-04,2019,New Delhi
16-May-19,1.81E-04,2019,New Delhi
24-Apr-19,1.82E-04,2019,New Delhi
8-May-19,1.85E-04,2019,New Delhi
29-Apr-19,1.88E-04,2019,New Delhi
2-May-19,1.90E-04,2019,New Delhi
9-May-19,1.92E-04,2019,New Delhi
